"","RNAi","DEG","type","prop_single_raw","prop_single_norm","prop_full_raw","prop_full_norm","prop_p_single_raw","prop_p_single_norm","prop_p_full_raw","prop_p_full_norm"
"1","energy","energy","up",0.216021602160216,0.396165212867771,0.190281204386633,0.370743807633853,0.0002999700029997,0.0001999800019998,9.99900009999e-05,9.99900009999e-05
"2","lipid","energy","up",0.100418410041841,0.19353328192062,0.0945631115579861,0.176406658376961,0.0677932206779322,0.0613938606139386,0.0108989101089891,0.0300969903009699
"3","pro_modi","energy","up",0.0723404255319149,0.166288809470628,0.075364437406099,0.143717216128522,0.261273872612739,0.0974902509749025,0.0456954304569543,0.0654934506549345
"4","pro_syn","energy","up",0.0230961298377029,0.0156806301447201,0.0214023447565061,0.0202635318309763,0.87019615692554,0.823158526821457,0.947805219478052,0.88011198880112
"5","nucl_acid","energy","up",0.244343891402715,0.259755087443454,0.187277970493585,0.221553782043593,9.99900009999e-05,0.0110988901109889,9.99900009999e-05,0.0044995500449955
"6","energy","lipid","up",0.0054005400540054,0.00137838940181911,0.00688479274577935,0.0019869457502071,0.998800119988001,0.999300069993001,0.999700029997,1
"7","lipid","lipid","up",0.108786610878661,0.272478917034002,0.0994862299825882,0.245865795077783,0.011998800119988,0.0038996100389961,0.0038996100389961,0.0014998500149985
"8","pro_modi","lipid","up",0.0468085106382979,0.00760406053058606,0.0676797823527023,0.0406228465828165,0.469153084691531,0.988201179882012,0.0798920107989201,0.759524047595241
"9","pro_syn","lipid","up",0.0112359550561798,0.00647502459923848,0.017503140298892,0.0156697732099995,0.878803042433947,0.840272217774219,0.976702329767023,0.941205879412059
"10","nucl_acid","lipid","up",0.00904977375565611,0.00483091787439614,0.0397772391022694,0.0272182133389074,0.996800319968003,0.992900709929007,0.676032396760324,0.901309869013099
"11","energy","pro_modi","up",0.0207020702070207,0.00912423777359214,0.0333518477853701,0.0204937980484713,0.996900309969003,0.998500149985001,0.997300269973003,0.999000099990001
"12","lipid","pro_modi","up",0.0271966527196653,0.0107469114592142,0.0496787404664394,0.0266576157278693,0.987301269873013,0.995600439956004,0.958404159584042,0.996800319968003
"13","pro_modi","pro_modi","up",0.0638297872340425,0.125907026833241,0.0714967312299509,0.0968417347081336,0.645735426457354,0.32036796320368,0.617538246175382,0.6004399560044
"14","pro_syn","pro_modi","up",0.0218476903870162,0.013340203284368,0.0406044672764751,0.048396268271656,0.916633306645316,0.894515612489992,0.967703229677032,0.901509849015098
"15","nucl_acid","pro_modi","up",0.0135746606334842,0.00832295013880692,0.0451686379404021,0.0252525874611512,0.999700029997,0.998800119988001,0.984401559844016,0.998900109989001
