"","fit2$original.values"
"energy",153
"lipid",119
"ECM",187
"pro_syn",32
"nucl_acid",145
"energy&lipid",0
"energy&ECM",0
"energy&pro_syn",0
"energy&nucl_acid",0
"lipid&ECM",25
"lipid&pro_syn",0
"lipid&nucl_acid",16
"ECM&pro_syn",14
"ECM&nucl_acid",54
"pro_syn&nucl_acid",5
"energy&lipid&ECM",0
"energy&lipid&pro_syn",0
"energy&lipid&nucl_acid",0
"energy&ECM&pro_syn",0
"energy&ECM&nucl_acid",2
"energy&pro_syn&nucl_acid",0
"lipid&ECM&pro_syn",7
"lipid&ECM&nucl_acid",14
"lipid&pro_syn&nucl_acid",0
"ECM&pro_syn&nucl_acid",22
"energy&lipid&ECM&pro_syn",0
"energy&lipid&ECM&nucl_acid",7
"energy&lipid&pro_syn&nucl_acid",0
"energy&ECM&pro_syn&nucl_acid",0
"lipid&ECM&pro_syn&nucl_acid",15
"energy&lipid&ECM&pro_syn&nucl_acid",12
