Row,energy,lipid,pro_syn,nucl_acid,ECM
ENSG00000000419,0,0,0,0,1
ENSG00000001036,0,0,0,0,0
ENSG00000001084,0,0,0,0,0
ENSG00000001630,0,1,0,0,0
ENSG00000002549,0,0,1,1,1
ENSG00000002587,0,0,0,0,1
ENSG00000002726,0,0,0,0,0
ENSG00000002746,0,0,0,0,0
ENSG00000003137,0,0,0,0,0
ENSG00000003987,0,0,0,0,0
ENSG00000003989,0,1,1,1,1
ENSG00000004455,0,0,1,1,1
ENSG00000004468,0,0,0,0,0
ENSG00000004478,0,0,0,0,0
ENSG00000004779,1,0,0,0,0
ENSG00000004799,0,0,0,0,0
ENSG00000004809,0,0,0,0,0
ENSG00000004864,0,0,0,1,1
ENSG00000004939,0,0,0,0,0
ENSG00000004961,0,0,0,0,0
ENSG00000005022,1,0,0,0,0
ENSG00000005075,0,0,0,1,0
ENSG00000005187,0,0,0,0,0
ENSG00000005339,0,0,0,0,0
ENSG00000005381,0,0,0,0,0
ENSG00000005421,0,0,0,0,0
ENSG00000005469,0,0,0,0,0
ENSG00000005471,0,0,0,0,0
ENSG00000005810,0,0,0,0,0
ENSG00000005882,0,0,0,0,0
ENSG00000006007,0,0,0,0,0
ENSG00000006071,0,0,0,0,0
ENSG00000006530,0,0,0,0,0
ENSG00000006534,0,0,0,0,0
ENSG00000006625,0,0,0,0,0
ENSG00000006695,0,0,0,0,0
ENSG00000006756,0,0,0,0,0
ENSG00000006757,0,0,0,0,0
ENSG00000007001,0,0,0,0,0
ENSG00000007168,0,0,0,0,0
ENSG00000007171,0,0,0,0,0
ENSG00000007216,0,0,0,0,0
ENSG00000007314,0,0,0,0,0
ENSG00000007350,0,1,0,1,0
ENSG00000007541,0,0,0,0,0
ENSG00000007933,0,0,0,0,0
ENSG00000007944,0,0,0,0,0
ENSG00000008130,0,0,0,0,0
ENSG00000008311,0,0,0,1,1
ENSG00000008394,0,0,0,0,0
ENSG00000008438,0,0,0,0,0
ENSG00000008513,0,0,0,0,0
ENSG00000009335,0,0,0,0,0
ENSG00000009413,0,0,0,1,0
ENSG00000009830,0,0,0,0,0
ENSG00000010256,1,0,0,0,0
ENSG00000010379,0,0,0,0,0
ENSG00000010404,0,0,0,0,0
ENSG00000010932,0,0,0,0,0
ENSG00000011009,0,0,0,0,0
ENSG00000011083,0,0,0,0,0
ENSG00000011198,0,1,0,0,0
ENSG00000011275,0,0,0,0,0
ENSG00000011405,0,0,0,0,0
ENSG00000012232,0,0,0,0,1
ENSG00000012660,0,1,0,0,0
ENSG00000012779,0,0,0,0,0
ENSG00000012963,0,0,0,0,0
ENSG00000013288,0,0,0,0,0
ENSG00000013306,0,0,0,0,0
ENSG00000013375,0,0,0,0,1
ENSG00000013392,0,0,0,0,0
ENSG00000013503,0,0,0,1,0
ENSG00000013561,0,0,0,0,0
ENSG00000014138,0,0,0,1,0
ENSG00000014257,0,0,0,0,0
ENSG00000014641,0,0,1,1,0
ENSG00000015413,0,0,0,0,0
ENSG00000015520,0,0,0,0,0
ENSG00000015532,0,0,0,0,1
ENSG00000016391,1,1,1,1,1
ENSG00000016864,0,0,0,0,0
ENSG00000017260,0,0,0,0,0
ENSG00000017483,0,0,0,1,1
ENSG00000017797,0,0,0,0,0
ENSG00000018280,0,0,0,0,0
ENSG00000018510,0,0,0,0,0
ENSG00000018625,0,0,0,0,0
ENSG00000019186,0,0,0,0,0
ENSG00000021461,0,0,0,0,0
ENSG00000021488,0,0,0,0,0
ENSG00000021826,0,0,0,0,0
ENSG00000023041,0,0,0,0,0
ENSG00000023228,1,0,0,0,0
ENSG00000023330,0,0,0,0,0
ENSG00000023572,0,0,0,0,0
ENSG00000023697,0,0,0,0,0
ENSG00000023839,0,0,0,0,0
ENSG00000023909,0,0,0,0,0
ENSG00000024048,0,0,0,0,0
ENSG00000025423,0,0,0,0,0
ENSG00000025708,0,0,0,0,0
ENSG00000025800,0,0,0,0,1
ENSG00000026652,0,1,0,0,0
ENSG00000027847,0,0,0,0,1
ENSG00000030066,0,0,0,1,0
ENSG00000031698,0,0,1,0,0
ENSG00000032444,0,0,0,0,0
ENSG00000033011,0,0,0,0,1
ENSG00000033100,0,0,0,0,1
ENSG00000033170,0,0,0,0,1
ENSG00000033178,0,0,0,0,0
ENSG00000033627,0,0,0,0,0
ENSG00000033867,1,0,0,0,0
ENSG00000034677,0,0,0,0,0
ENSG00000035687,0,0,0,1,0
ENSG00000036473,0,0,0,0,0
ENSG00000036530,0,0,0,0,0
ENSG00000036565,0,0,0,0,0
ENSG00000036672,0,0,0,0,0
ENSG00000037757,0,0,0,0,0
ENSG00000037897,0,0,0,0,0
ENSG00000038002,0,0,0,0,0
ENSG00000038210,0,0,0,0,0
ENSG00000038274,0,1,0,1,0
ENSG00000039123,0,0,0,0,0
ENSG00000039650,0,0,0,0,0
ENSG00000040933,0,0,0,0,0
ENSG00000041880,0,0,0,0,0
ENSG00000043514,0,0,0,0,0
ENSG00000044446,0,0,0,0,0
ENSG00000047230,0,0,0,1,0
ENSG00000047249,0,0,0,0,0
ENSG00000047315,0,0,0,1,0
ENSG00000047410,0,0,0,1,0
ENSG00000047457,0,0,0,0,0
ENSG00000048028,0,0,0,0,0
ENSG00000048392,0,0,0,1,0
ENSG00000049239,0,1,0,0,0
ENSG00000049759,0,0,0,0,0
ENSG00000049860,0,0,0,0,0
ENSG00000050438,0,0,0,0,0
ENSG00000051341,0,0,0,1,0
ENSG00000051382,0,0,0,0,0
ENSG00000052802,0,0,0,0,0
ENSG00000053371,0,0,0,0,0
ENSG00000054148,0,0,0,0,0
ENSG00000054179,0,0,0,0,0
ENSG00000054267,0,0,0,0,0
ENSG00000054392,0,0,0,0,0
ENSG00000054983,0,0,0,0,0
ENSG00000055483,0,0,0,0,0
ENSG00000055609,0,0,0,0,0
ENSG00000056998,0,0,0,0,0
ENSG00000057252,0,1,0,0,0
ENSG00000058056,0,0,0,0,0
ENSG00000058600,0,0,0,1,0
ENSG00000058668,0,0,0,0,0
ENSG00000058804,0,0,0,1,0
ENSG00000058866,0,0,0,0,0
ENSG00000059377,0,0,0,0,0
ENSG00000059378,0,0,0,0,0
ENSG00000059573,0,0,0,0,0
ENSG00000059804,0,1,0,1,1
ENSG00000060642,0,0,0,0,0
ENSG00000060762,0,1,0,0,0
ENSG00000060971,0,0,0,1,1
ENSG00000060982,0,0,1,1,0
ENSG00000061918,0,0,0,0,0
ENSG00000062282,0,0,0,0,0
ENSG00000062485,1,0,0,0,0
ENSG00000062822,0,0,0,1,0
ENSG00000063176,0,0,0,0,0
ENSG00000063601,0,0,0,0,0
ENSG00000063854,0,0,0,0,0
ENSG00000064225,0,0,0,0,0
ENSG00000064270,0,0,0,0,0
ENSG00000064601,0,0,0,0,0
ENSG00000064651,0,0,0,0,0
ENSG00000064763,0,0,0,0,0
ENSG00000065154,0,0,1,0,1
ENSG00000065357,0,0,0,0,0
ENSG00000065427,0,0,1,0,0
ENSG00000065485,0,0,0,0,0
ENSG00000065518,1,0,0,0,0
ENSG00000065534,0,0,0,0,0
ENSG00000065615,0,0,0,0,0
ENSG00000065621,0,0,0,0,0
ENSG00000065833,0,0,0,0,0
ENSG00000065911,0,0,0,1,0
ENSG00000065923,0,0,0,0,0
ENSG00000065989,0,0,0,0,0
ENSG00000066230,0,0,0,0,0
ENSG00000066322,0,1,0,0,0
ENSG00000066379,0,0,0,1,0
ENSG00000066651,0,0,0,0,0
ENSG00000066813,0,0,0,0,0
ENSG00000066926,0,0,0,0,0
ENSG00000067057,1,0,0,0,0
ENSG00000067064,0,1,0,0,0
ENSG00000067113,0,1,0,0,0
ENSG00000067177,0,0,0,0,0
ENSG00000067225,1,0,0,0,0
ENSG00000067829,1,0,0,0,0
ENSG00000067840,0,0,0,0,0
ENSG00000067842,0,0,0,0,0
ENSG00000067992,0,0,0,0,0
ENSG00000068001,0,0,0,0,0
ENSG00000068120,0,0,0,0,0
ENSG00000068308,0,0,0,0,0
ENSG00000068366,0,1,0,0,1
ENSG00000068383,0,0,0,0,0
ENSG00000068650,0,0,0,0,0
ENSG00000068654,0,0,0,1,0
ENSG00000068745,0,0,0,0,0
ENSG00000068903,0,0,0,0,0
ENSG00000068976,0,0,0,0,0
ENSG00000069248,0,0,0,1,0
ENSG00000069431,0,0,0,0,0
ENSG00000069535,0,0,0,0,0
ENSG00000069764,0,0,0,0,0
ENSG00000069849,0,0,0,0,0
ENSG00000069869,0,0,0,0,0
ENSG00000069943,0,0,0,0,0
ENSG00000070019,0,0,0,0,0
ENSG00000070214,0,0,0,0,0
ENSG00000070423,0,0,0,0,0
ENSG00000070501,0,0,0,1,0
ENSG00000070526,0,0,0,0,0
ENSG00000070610,0,0,0,0,0
ENSG00000070614,0,0,0,0,1
ENSG00000070669,0,0,1,0,1
ENSG00000070731,0,0,0,0,0
ENSG00000070748,0,0,0,0,0
ENSG00000070915,0,0,0,0,0
ENSG00000070950,0,0,0,0,0
ENSG00000070961,0,0,0,0,0
ENSG00000071073,0,0,0,0,1
ENSG00000071553,0,0,0,0,0
ENSG00000071794,0,0,0,0,0
ENSG00000071967,0,0,0,0,0
ENSG00000072041,0,0,0,0,0
ENSG00000072042,0,0,0,0,0
ENSG00000072210,0,0,0,1,1
ENSG00000072274,0,0,0,0,0
ENSG00000072401,0,0,0,0,0
ENSG00000072506,0,0,1,0,1
ENSG00000072609,0,0,0,0,0
ENSG00000072657,0,0,0,0,0
ENSG00000072682,0,0,0,0,0
ENSG00000072756,0,0,0,0,0
ENSG00000072778,0,0,0,0,0
ENSG00000073060,0,0,0,0,0
ENSG00000073417,0,0,0,0,0
ENSG00000073578,1,0,0,0,0
ENSG00000073734,0,0,0,0,0
ENSG00000073737,0,0,0,0,0
ENSG00000073756,0,0,0,0,0
ENSG00000073849,0,0,0,0,1
ENSG00000074370,0,0,0,0,0
ENSG00000074410,0,0,0,0,0
ENSG00000074416,0,0,0,0,0
ENSG00000074621,0,0,0,1,1
ENSG00000074696,0,1,0,0,0
ENSG00000074800,1,0,0,0,0
ENSG00000074803,0,0,0,0,0
ENSG00000075188,0,0,0,1,0
ENSG00000075239,0,0,0,0,1
ENSG00000075303,0,0,0,0,0
ENSG00000075415,1,0,0,0,0
ENSG00000075651,0,0,0,0,0
ENSG00000075673,0,0,0,0,0
ENSG00000075975,0,0,0,0,0
ENSG00000076258,0,0,0,0,0
ENSG00000076351,0,0,0,0,0
ENSG00000076555,0,0,0,0,0
ENSG00000076685,0,0,0,0,0
ENSG00000077009,0,0,0,0,0
ENSG00000077044,0,0,0,0,0
ENSG00000077152,0,0,0,0,0
ENSG00000077254,0,0,0,0,0
ENSG00000077463,0,0,0,0,0
ENSG00000077498,0,0,0,0,0
ENSG00000077514,0,0,0,1,0
ENSG00000077721,0,0,0,0,0
ENSG00000077800,0,0,0,0,0
ENSG00000078070,0,1,0,0,0
ENSG00000078124,0,0,0,0,0
ENSG00000078140,0,0,0,0,0
ENSG00000078142,0,0,0,0,0
ENSG00000078237,0,0,0,0,0
ENSG00000078269,0,0,0,0,0
ENSG00000078295,0,0,0,0,0
ENSG00000078747,0,0,0,0,0
ENSG00000078967,0,0,0,0,0
ENSG00000079150,0,0,0,0,0
ENSG00000079215,0,0,0,0,0
ENSG00000079435,0,0,0,0,0
ENSG00000079459,0,1,0,0,0
ENSG00000079462,0,0,0,0,0
ENSG00000079739,0,0,0,0,1
ENSG00000079805,0,0,0,0,0
ENSG00000080166,0,0,0,0,0
ENSG00000080493,1,0,0,0,0
ENSG00000080511,0,0,0,0,0
ENSG00000080802,0,0,0,0,0
ENSG00000080819,0,0,0,0,0
ENSG00000081181,0,0,1,0,0
ENSG00000081479,0,0,0,0,0
ENSG00000081760,0,1,0,0,0
ENSG00000081800,0,0,0,0,0
ENSG00000081923,0,0,0,0,0
ENSG00000082212,0,0,0,0,1
ENSG00000082996,0,0,0,0,0
ENSG00000083123,0,1,1,0,1
ENSG00000083168,0,0,0,0,0
ENSG00000083223,0,0,0,1,0
ENSG00000083444,0,0,0,0,0
ENSG00000083720,0,0,0,0,0
ENSG00000083799,0,0,0,0,0
ENSG00000083807,0,0,0,0,0
ENSG00000084072,0,0,0,0,0
ENSG00000084073,0,0,0,0,0
ENSG00000084090,0,0,0,0,0
ENSG00000084110,0,0,0,1,0
ENSG00000084207,0,0,0,0,0
ENSG00000084453,0,0,0,0,0
ENSG00000084674,0,0,0,0,0
ENSG00000084676,0,0,0,0,0
ENSG00000084754,0,0,1,0,1
ENSG00000084774,0,0,0,1,0
ENSG00000085231,0,0,1,1,1
ENSG00000085377,0,0,0,0,0
ENSG00000085382,0,0,0,0,0
ENSG00000085415,0,0,0,1,0
ENSG00000085563,0,0,0,0,0
ENSG00000085662,0,0,0,0,0
ENSG00000085871,0,0,0,0,0
ENSG00000085982,0,0,0,0,0
ENSG00000085998,0,0,0,0,0
ENSG00000086062,0,0,0,0,1
ENSG00000086159,0,0,0,0,0
ENSG00000086475,0,0,0,0,0
ENSG00000086544,0,0,0,0,0
ENSG00000086696,0,0,0,0,0
ENSG00000086758,0,0,0,0,0
ENSG00000086848,0,0,0,0,1
ENSG00000087008,0,0,0,0,0
ENSG00000087053,0,0,0,0,0
ENSG00000087076,0,0,0,0,0
ENSG00000087085,0,0,0,0,0
ENSG00000087111,0,0,0,0,0
ENSG00000087157,0,1,0,0,0
ENSG00000087253,0,0,0,0,0
ENSG00000087299,0,0,0,0,0
ENSG00000087470,0,0,0,0,0
ENSG00000088002,0,0,0,0,0
ENSG00000088035,0,0,0,0,1
ENSG00000088305,0,0,0,0,0
ENSG00000088386,0,0,1,0,0
ENSG00000088451,0,0,0,0,0
ENSG00000088766,0,1,0,0,0
ENSG00000088826,0,0,0,0,0
ENSG00000088832,0,0,0,0,0
ENSG00000089057,0,0,0,0,0
ENSG00000089060,0,0,0,0,0
ENSG00000089234,0,0,0,0,0
ENSG00000089250,0,0,0,0,0
ENSG00000089472,0,0,0,0,0
ENSG00000089597,0,0,0,0,0
ENSG00000090013,0,0,0,0,0
ENSG00000090020,0,0,0,0,0
ENSG00000090054,0,0,0,0,0
ENSG00000090060,0,0,0,1,0
ENSG00000090266,1,0,0,0,0
ENSG00000090402,0,0,0,0,0
ENSG00000090432,0,0,0,0,0
ENSG00000090661,0,0,0,0,0
ENSG00000090686,0,0,0,0,0
ENSG00000090857,0,0,0,0,0
ENSG00000090861,0,0,1,0,0
ENSG00000090971,0,0,0,0,0
ENSG00000091137,0,0,0,0,0
ENSG00000091138,0,0,0,0,1
ENSG00000091140,1,0,0,0,0
