rxnID,rxnFormula,LB,UB,note
MAR03905,"ethanol [Cytosol] + NAD+ [Cytosol]  -> acetaldehyde [Cytosol] + H+ [Cytosol] + NADH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03907,"ethanol [Cytosol] + NADP+ [Cytosol]  -> acetaldehyde [Cytosol] + H+ [Cytosol] + NADPH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04097,"acetate [Cytosol] + ATP [Cytosol] + CoA [Cytosol]  -> acetyl-CoA [Cytosol] + AMP [Cytosol] + PPi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04099,"acetate [Mitochondria] + ATP [Mitochondria] + CoA [Mitochondria]  -> acetyl-CoA [Mitochondria] + AMP [Mitochondria] + PPi [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR04108,"acetyl adenylate [Cytosol] + CoA [Cytosol]  -> acetyl-CoA [Cytosol] + AMP [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04133,"acetate [Cytosol] + ATP [Cytosol] + H+ [Cytosol]  -> acetyl adenylate [Cytosol] + PPi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04281,"H+ [Peroxisome] + NADH [Peroxisome] + pyruvate [Peroxisome]  <=> L-lactate [Peroxisome] + NAD+ [Peroxisome] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04388,"H+ [Cytosol] + NADH [Cytosol] + pyruvate [Cytosol]  <=> L-lactate [Cytosol] + NAD+ [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04283,"acetaldehyde [Cytosol] + H2O [Cytosol] + NADP+ [Cytosol]  -> acetate [Cytosol] + 2 H+ [Cytosol] + NADPH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08357,"acetaldehyde [Mitochondria] + H2O [Mitochondria] + NAD+ [Mitochondria]  -> acetate [Mitochondria] + 2 H+ [Mitochondria] + NADH [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR04379,"ATP [Cytosol] + fructose-6-phosphate [Cytosol]  -> ADP [Cytosol] + fructose-1,6-bisphosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04301,"fructose-6-phosphate [Cytosol] + UTP [Cytosol]  -> fructose-1,6-bisphosphate [Cytosol] + H+ [Cytosol] + UDP [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04355,"DHAP [Cytosol] + erythrose-4-phosphate [Cytosol]  -> sedoheptulose-1,7-bisphosphate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04358,"ADP [Cytosol] + H+ [Cytosol] + PEP [Cytosol]  -> ATP [Cytosol] + pyruvate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04360,"H2O [Cytosol] + methylglyoxal [Cytosol] + NADP+ [Cytosol]  -> 2 H+ [Cytosol] + NADPH [Cytosol] + pyruvate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04363,"2-phospho-D-glycerate [Cytosol]  <=> H2O [Cytosol] + PEP [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04365,"2-phospho-D-glycerate [Cytosol]  <=> 3-phospho-D-glycerate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04368,"1,3-bisphospho-D-glycerate [Cytosol] + ADP [Cytosol]  <=> 3-phospho-D-glycerate [Cytosol] + ATP [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04370,"1,3-bisphospho-D-glycerate [Cytosol] + H2O [Cytosol]  -> 3-phospho-D-glycerate [Cytosol] + H+ [Cytosol] + Pi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04371,"1,3-bisphospho-D-glycerate [Cytosol]  -> 2,3-bisphospho-D-glycerate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
