Row,coelomocyte,endocrine,epithelium,excretory,germline,gland,glia,gonad,hypodermis,intestine,mesoderm,muscle,neuron,pharynx,seam,valve,vulva
RM00713,35.29,1,3.5181,24.4453,11.9165,2.8426,3.6657,3.224,7.0098,9.8244,43.1943,5.8862,4.9739,1,5.167,5.5695,2.8302
RC00093,12.43,12.833,7.1984,59.6132,11.9165,4.3166,4.1361,5.0773,51.4824,16.4427,58.8946,53.0933,89.848,1,71.1034,28.4169,17.4718
RM00243,686.8005,182.4388,305.4015,493.351,61.0407,107.8679,148.71,126.2837,431.7828,289.9989,443.55,346.5809,112.4495,1682.7244,184.715,227.9511,663.5304
RM00248,686.8005,182.4388,305.4015,493.351,61.0407,107.8679,148.71,126.2837,431.7828,289.9989,443.55,346.5809,112.4495,1682.7244,184.715,227.9511,663.5304
RC00359,528.7804,208.1047,83.5798,120.2264,41.2076,88.8628,373.0589,1610.5609,456.2595,55.9464,345.461,230.051,195.6432,911.3767,64.7695,210.1501,21.3019
RM00355,173.4501,65.1092,222.2383,306.7887,165.7474,109.9734,133.4022,90.5882,142.6294,123.3354,168.8149,250.4873,93.6704,677.1448,89.2616,90.3434,117.3023
RC00355,69.5801,44.3875,202.7399,270.6208,71.9572,18.32,124.2484,82.175,65.7857,29.6793,188.4214,191.7985,133.6285,326.2971,323.5736,81.7276,54.0756
RC00768,139.1601,5.9443,12.5567,95.7811,29.2912,25.2161,9.6835,30.541,147.4373,105.6866,62.8384,13.2698,10.309,20.413,27.7372,5.0463,34.9435
RM01648,492.4904,48.3319,31.4111,247.1755,50.1242,9.8442,130.5206,67.3485,250.4069,203.961,761.4794,230.4941,117.3265,19.413,273.4473,121.3298,48.5851
RC00369,70.58,45.3875,45.2922,37.1679,78.4154,24.8477,36.1834,85.399,66.9059,52.7403,121.7141,137.1588,29.8398,26.5507,109.2386,53.7875,150.2458
RM00369,70.58,45.3875,45.2922,37.1679,78.4154,24.8477,36.1834,85.399,66.9059,52.7403,121.7141,137.1588,29.8398,26.5507,109.2386,53.7875,150.2458
RC00485,81.0101,8.8886,38.3843,36.1679,110.1649,16.4774,13.858,263.4287,103.6475,14.2366,71.651,73.505,38.21,356.9855,68.0394,23.8474,50.4153
RC00256,14.43,50.3318,11.1355,26.4453,19.3747,12.9498,6.2929,32.2823,57.6893,25.061,24.5878,36.2577,104.0858,39.8261,6.1865,71.5424,4.8302
RC00261,23.86,16.7773,339.8804,1,17.3747,2.474,3.6657,2.4826,7.0098,20.8549,159.9647,2.261,1587.3715,1,2.103,17.7548,4.6604
RC00253,325.0402,48.3876,161.5107,391.8472,32.2912,26.3735,112.0976,60.2286,929.9091,402.0977,528.0136,256.482,65.489,3104.5286,372.4301,140.5614,37.9435
RC00578,139.1601,9.8886,3.356,330.234,18.3747,4.5796,8.5858,22.7571,181.573,213.7854,3.9625,132.4302,3.2193,75.6522,35.9487,2,5.6604
RM00258,115.3001,99.608,48.0694,223.7302,44.666,13.8979,603.6002,95.8895,319.3995,67.1829,250.241,185.6513,139.0926,995.3042,224.0562,58.8802,54.0756
RM00261,23.86,16.7773,339.8804,1,17.3747,2.474,3.6657,2.4826,7.0098,20.8549,159.9647,2.261,1587.3715,1,2.103,17.7548,4.6604
RC00765,1,1,1.5811,1,1,1,40.5148,6.5599,11.6975,146.6025,1.9813,1.8669,1.858,1,4.5542,4.0463,1
RC01961,231.6001,101.608,175.1035,38.1679,177.6639,38.7455,71.3667,126.0597,135.5763,55.9464,140.3769,138.5529,436.9666,487.8767,58.2738,237.5669,103.6607
RC02058,24.86,17.7773,26.2126,13.7226,12.9165,24.8476,32.8906,13.4905,29.1644,13.0305,10.8314,17.9984,10.9412,14.2754,12.54,17.2317,16.6416
RC02059,1,1,11.5567,1,33.7495,8.0017,14.642,65.4952,9.8945,109.0988,8.8501,11.8758,6.5544,1,10.6821,28.4169,6.4906
RC01201,35.29,20.7216,21.8229,36.1679,6.4582,15.3719,24.0503,24.3517,24.0777,23.061,16.7002,13.5308,13.5313,19.413,14.3589,23.8474,43.0945
RC00293,1,1,4.2929,12.7226,1,2.1055,1.784,5.0773,34.0539,12.0305,7.8688,7.7776,4.4997,1,5.9023,1,2.8302
RC02335,13.43,21.7216,3.0654,2,7.4582,3.8425,2.9408,8.672,3.0818,6.4122,3.9625,12.0877,7.8931,8.1377,2.9805,24.8474,9.3208
RC00416,1,12.833,10.5882,24.4453,11.9165,3.9481,9.9379,36.2129,16.6255,18.6488,6.8876,4.7829,4.2288,31.6884,11.1723,7.0926,13.8114
RC08193,1,4.9443,13.3969,1,11.9165,11.6868,7.8994,16.5678,8.0916,16.4427,5.9063,5.3345,4.2739,31.6884,6.7602,14.7085,21.1321
RC01206,49.86,307.0468,84.4328,308.3433,43.3747,134.6049,113.8697,70.7381,339.6302,71.122,33.8689,61.1245,105.6198,88.3769,107.3984,46.8011,54.4529
DMN0085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
