"","RNAi","DEG","type","prop_single_raw","prop_single_norm","prop_full_raw","prop_full_norm","prop_p_single_raw","prop_p_single_norm","prop_p_full_raw","prop_p_full_norm"
"1","energy","energy","up",0.424242424242424,0.42673535981915,0.274337588963246,0.260728056961785,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0080991900809919
"2","lipid","energy","up",0.138121546961326,0.161085920370181,0.111904401482058,0.122020649195915,0.986501349865013,0.891610838916108,0.995900409959004,0.962203779622038
"3","pro_modi","energy","up",0.0379746835443038,0.0433211126991031,0.120225916453538,0.0886917101461956,1,1,0.987401259874013,0.999400059994001
"4","pro_syn","energy","up",0.150862068965517,0.189417659306465,0.118472983699766,0.165114043707297,0.8624724944989,0.607121424284857,0.951704829517048,0.524247575242476
"5","nucl_acid","energy","up",0.198895027624309,0.12772030651341,0.174912477934578,0.134366282972113,0.652334766523348,0.972202779722028,0.30956904309569,0.883611638836116
"6","energy","lipid","up",0.241212121212121,0.166107475888156,0.228873386711281,0.201117444158365,0.0017998200179982,0.361063893610639,0.0008999100089991,0.157684231576842
"7","lipid","lipid","up",0.342541436464088,0.396383385932026,0.287367784938176,0.346591696347823,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"8","pro_modi","lipid","up",0.139240506329114,0.212262146412864,0.245592971488112,0.274549480319847,0.580741925807419,0.127587241275872,0.0001999800019998,0.0006999300069993
"9","pro_syn","lipid","up",0.1875,0.191257374257277,0.164309316793118,0.17303617823366,0.203040608121624,0.276355271054211,0.494750524947505,0.448455154484552
"10","nucl_acid","lipid","up",0.18232044198895,0.175766283524904,0.219871700048322,0.207915662138877,0.124087591240876,0.308169183081692,0.004999500049995,0.118788121187881
"11","energy","pro_modi","up",0.063030303030303,0.0306311133298863,0.141081932494158,0.125254706639558,0.991400859914009,0.999500049995001,0.6997300269973,0.905009499050095
"12","lipid","pro_modi","up",0.0966850828729282,0.0632182647480159,0.142857503279847,0.151867911167451,0.761323867613239,0.941705829417058,0.664233576642336,0.577542245775422
"13","pro_modi","pro_modi","up",0.493670886075949,0.457928999495985,0.235498112288394,0.307938793712114,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"14","pro_syn","pro_modi","up",0.0452586206896552,0.0407549498858668,0.0914105333111812,0.0824724642994737,0.960792158431686,0.905281056211242,0.995100489951005,0.988901109889011
"15","nucl_acid","pro_modi","up",0.138121546961326,0.190459770114943,0.172959872982062,0.166893811981264,0.210878912108789,0.0763923607639236,0.12038796120388,0.357664233576642
"16","energy","pro_syn","up",0.00363636363636364,0.00151143790849673,0.0217242936052687,0.0165147739016756,0.998500149985001,0.998400159984002,0.951004899510049,0.969303069693031
"17","lipid","pro_syn","up",0.00368324125230203,0.00120530925013684,0.00917371893756998,0.00493880932520563,0.996500349965003,0.997400259974003,0.999800019998,1
"18","pro_modi","pro_syn","up",0,0,0.00855830254807237,0.00386924532417519,1,1,1,1
"19","pro_syn","pro_syn","up",0.0926724137931035,0.100068820491816,0.0578132210961585,0.0622479993950518,0.0168033606721344,0.0609121824364873,0.0343965603439656,0.0956904309569043
"20","nucl_acid","pro_syn","up",0,0,0.0160488348470953,0.019455455096823,1,1,0.994100589941006,0.91990800919908
"21","energy","nucl_acid","up",0.0618181818181818,0.0530819848001093,0.0983530181113236,0.09099448628347,0.998400159984002,0.995200479952005,0.932306769323068,0.942205779422058
"22","lipid","nucl_acid","up",0.0248618784530387,0.0239647470233639,0.051863986082878,0.0557025809446619,1,1,1,1
"23","pro_modi","nucl_acid","up",0.0189873417721519,0.0115750809530714,0.0661487300234103,0.0695871622602891,1,1,0.999900009999,0.998700129987001
"24","pro_syn","nucl_acid","up",0.0625,0.0554950754055161,0.0711229255505713,0.0613871014845712,0.946589317863573,0.883276655331066,0.994000599940006,0.986901309869013
"25","nucl_acid","nucl_acid","up",0.116022099447514,0.218812260536398,0.118849047858545,0.146684148649361,0.63973602639736,0.046995300469953,0.561043895610439,0.246375362463754
"26","energy","energy","down",0.117575757575758,0.242236746816283,0.0819597142553643,0.161345093394466,0.53024697530247,0.0001999800019998,0.737526247375263,0.0016998300169983
"27","lipid","energy","down",0.279005524861878,0.224953456925304,0.174667329844442,0.125644941499231,9.99900009999e-05,0.0080991900809919,0.0001999800019998,0.0412958704129587
"28","pro_modi","energy","down",0.20253164556962,0.174889876205666,0.120598384281249,0.102380877636101,0.0094990500949905,0.0761923807619238,0.0613938606139386,0.203879612038796
"29","pro_syn","energy","down",0.204741379310345,0.1897136116993,0.134931974672795,0.123680233473281,0.0592118423684737,0.132726545309062,0.0558944105589441,0.133486651334867
"30","nucl_acid","energy","down",0.0773480662983425,0.0794252873563218,0.0582004477185093,0.0860056532325712,0.933906609339066,0.766023397660234,0.984201579842016,0.451154884511549
"31","energy","lipid","down",0.0351515151515151,0.0300768577066332,0.0590118440620353,0.0513589430238685,0.995200479952005,0.966603339666033,0.992700729927007,0.970502949705029
"32","lipid","lipid","down",0.0285451197053407,0.0472175133326135,0.07308098938435,0.0738111012135635,0.994500549945005,0.788621137886211,0.913108689131087,0.687231276872313
"33","pro_modi","lipid","down",0.0379746835443038,0.0196181742234374,0.0708142194075698,0.0539855928455497,0.976702329767023,0.984601539846015,0.942505749425057,0.963703629637036
"34","pro_syn","lipid","down",0.150862068965517,0.12306775921961,0.167403223126765,0.146448832453064,0.0584116823364673,0.178035607121424,0.0031996800319968,0.0458954104589541
"35","nucl_acid","lipid","down",0.0607734806629834,0.0238697318007663,0.0694624419395876,0.0720637290375209,0.82031796820318,0.972302769723028,0.935306469353065,0.704029597040296
"36","energy","pro_modi","down",0.0242424242424242,0.0160426392922569,0.0553205332483535,0.0451540685146596,0.995500449955005,0.986701329867013,0.989501049895011,0.978002199780022
"37","lipid","pro_modi","down",0.0377532228360958,0.0232349518114992,0.0801404687417403,0.0588093584125692,0.926307369263074,0.923507649235076,0.660633936606339,0.866613338666133
"38","pro_modi","pro_modi","down",0.0379746835443038,0.0626803751803752,0.0732364443361886,0.0575029748820529,0.895310468953105,0.39006099390061,0.809019098090191,0.88961103889611
"39","pro_syn","pro_modi","down",0.0711206896551724,0.0779454344501526,0.127824850935002,0.126499734754153,0.384376875375075,0.258451690338068,0.0305969403059694,0.0654934506549345
"40","nucl_acid","pro_modi","down",0.132596685082873,0.14051724137931,0.0968580811218603,0.0825035681262016,0.0054994500549945,0.0164983501649835,0.225777422257774,0.375162483751625
"41","energy","pro_syn","down",0.00848484848484849,0.00320953790781377,0.0117866342681113,0.00975844685988364,0.862213778622138,0.91020897910209,0.911108889111089,0.828117188281172
"42","lipid","pro_syn","down",0.0110497237569061,0.00365447076768835,0.0206779310775678,0.0122237693285808,0.743225677432257,0.84991500849915,0.416158384161584,0.71032896710329
"43","pro_modi","pro_syn","down",0.00632911392405063,0.00649350649350649,0.0189596611591496,0.00876430443999575,0.883111688831117,0.682831716828317,0.520647935206479,0.881411858814119
"44","pro_syn","pro_syn","down",0.0021551724137931,0.00229885057471264,0.0159753373576268,0.0140989887102922,0.730446089217844,0.699239847969594,0.614538546145386,0.505149485051495
"45","nucl_acid","pro_syn","down",0.0441988950276243,0.00689655172413793,0.0289163042513535,0.0143300898147568,0.0275972402759724,0.675632436756324,0.118688131186881,0.577842215778422
"46","energy","nucl_acid","down",0.0206060606060606,0.030366846531215,0.0275510542808583,0.0377739802622694,0.999600039996,0.932506749325067,0.999900009999,0.945905409459054
"47","lipid","nucl_acid","down",0.0377532228360958,0.0550819798391702,0.0482658862313722,0.0483891825649976,0.956904309569043,0.597740225977402,0.960703929607039,0.80981901809819
"48","pro_modi","nucl_acid","down",0.0253164556962025,0.0112307283359915,0.0403672580143168,0.0327298584336796,0.990700929907009,0.993200679932007,0.995300469953005,0.984401559844016
"49","pro_syn","nucl_acid","down",0.0323275862068966,0.0299804647092837,0.0507356334570157,0.0450144234891566,0.850070014002801,0.734546909381876,0.830716928307169,0.738726127387261
"50","nucl_acid","nucl_acid","down",0.0497237569060773,0.0365325670498084,0.0439207912980878,0.0697815989505128,0.837316268373163,0.821317868213179,0.975002499750025,0.331866813318668
