"","RNAi","DEG","type","prop_single_raw","prop_single_norm","prop_full_raw","prop_full_norm","prop_p_single_raw","prop_p_single_norm","prop_p_full_raw","prop_p_full_norm"
"1","energy","energy","up",0.424242424242424,0.42673535981915,0.274337588963246,0.260728056961785,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"2","lipid","energy","up",0.138121546961326,0.161085920370181,0.111904401482058,0.122020649195915,1,0.995900409959004,1,0.999500049995001
"3","pro_modi","energy","up",0.0379746835443038,0.0433211126991031,0.120225916453538,0.0886917101461956,1,1,1,1
"4","pro_syn","energy","up",0.150862068965517,0.189417659306465,0.118472983699766,0.165114043707297,1,0.963003699630037,0.999900009999,0.417758224177582
"5","nucl_acid","energy","up",0.198895027624309,0.12772030651341,0.174912477934578,0.134366282972113,0.884511548845116,0.966003399660034,0.0832916708329167,0.861513848615138
"6","energy","lipid","up",0.241212121212121,0.166107475888156,0.228873386711281,0.201117444158365,0.999500049995001,1,0.998900109989001,0.999700029997
"7","lipid","lipid","up",0.342541436464088,0.396383385932026,0.287367784938176,0.346591696347823,9.99900009999e-05,0.0001999800019998,9.99900009999e-05,9.99900009999e-05
"8","pro_modi","lipid","up",0.139240506329114,0.212262146412864,0.245592971488112,0.274549480319847,0.999900009999,0.888911108889111,0.460853914608539,0.135586441355864
"9","pro_syn","lipid","up",0.1875,0.191257374257277,0.164309316793118,0.17303617823366,1,0.999800019998,1,1
"10","nucl_acid","lipid","up",0.18232044198895,0.175766283524904,0.219871700048322,0.207915662138877,0.997400259974003,0.926207379262074,0.963903609639036,0.912008799120088
"11","energy","pro_modi","up",0.063030303030303,0.0306311133298863,0.141081932494158,0.125254706639558,1,1,0.96040395960404,0.976702329767023
"12","lipid","pro_modi","up",0.0966850828729282,0.0632182647480159,0.142857503279847,0.151867911167451,0.950504949505049,0.987201279872013,0.985901409859014,0.327667233276672
"13","pro_modi","pro_modi","up",0.493670886075949,0.457928999495985,0.235498112288394,0.307938793712114,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"14","pro_syn","pro_modi","up",0.0452586206896552,0.0407549498858668,0.0914105333111812,0.0824724642994737,1,1,1,1
"15","nucl_acid","pro_modi","up",0.138121546961326,0.190459770114943,0.172959872982062,0.166893811981264,0.063993600639936,0.065993400659934,0.0007999200079992,0.167883211678832
"16","energy","pro_syn","up",0.00363636363636364,0.00151143790849673,0.0217242936052687,0.0165147739016756,0.998700129987001,0.999200079992001,0.0846915308469153,0.594740525947405
"17","lipid","pro_syn","up",0.00368324125230203,0.00120530925013684,0.00917371893756998,0.00493880932520563,1,1,1,1
"18","pro_modi","pro_syn","up",0,0,0.00855830254807237,0.00386924532417519,1,1,1,1
"19","pro_syn","pro_syn","up",0.0926724137931035,0.100068820491816,0.0578132210961585,0.0622479993950518,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0005999400059994
"20","nucl_acid","pro_syn","up",0,0,0.0160488348470953,0.019455455096823,1,1,0.966303369663034,0.330966903309669
"21","energy","nucl_acid","up",0.0618181818181818,0.0530819848001093,0.0983530181113236,0.09099448628347,0.0121987801219878,0.321767823217678,9.99900009999e-05,0.0327967203279672
"22","lipid","nucl_acid","up",0.0248618784530387,0.0239647470233639,0.051863986082878,0.0557025809446619,1,0.981101889811019,1,0.998000199980002
"23","pro_modi","nucl_acid","up",0.0189873417721519,0.0115750809530714,0.0661487300234103,0.0695871622602891,0.935706429357064,0.945405459454055,0.984101589841016,0.652134786521348
"24","pro_syn","nucl_acid","up",0.0625,0.0554950754055161,0.0711229255505713,0.0613871014845712,0.0674932506749325,0.22987701229877,0.761023897610239,0.946605339466053
"25","nucl_acid","nucl_acid","up",0.116022099447514,0.218812260536398,0.118849047858545,0.146684148649361,9.99900009999e-05,0.0006999300069993,9.99900009999e-05,0.0010998900109989
"26","energy","energy","down",0.117575757575758,0.242236746816283,0.0819597142553643,0.161345093394466,1,0.0044995500449955,1,0.0084991500849915
"27","lipid","energy","down",0.279005524861878,0.224953456925304,0.174667329844442,0.125644941499231,9.99900009999e-05,0.0842915708429157,9.99900009999e-05,0.56014398560144
"28","pro_modi","energy","down",0.20253164556962,0.174889876205666,0.120598384281249,0.102380877636101,0.263573642635736,0.537946205379462,0.84951504849515,0.934706529347065
"29","pro_syn","energy","down",0.204741379310345,0.1897136116993,0.134931974672795,0.123680233473281,0.0493950604939506,0.291470852914709,0.138586141385861,0.507049295070493
"30","nucl_acid","energy","down",0.0773480662983425,0.0794252873563218,0.0582004477185093,0.0860056532325712,1,0.976102389761024,1,0.977102289771023
"31","energy","lipid","down",0.0351515151515151,0.0300768577066332,0.0590118440620353,0.0513589430238685,0.997800219978002,0.96960303969603,1,1
"32","lipid","lipid","down",0.0285451197053407,0.0472175133326135,0.07308098938435,0.0738111012135635,1,0.511948805119488,0.999300069993001,0.83951604839516
"33","pro_modi","lipid","down",0.0379746835443038,0.0196181742234374,0.0708142194075698,0.0539855928455497,0.706329367063294,0.861913808619138,0.997500249975003,0.997500249975003
"34","pro_syn","lipid","down",0.150862068965517,0.12306775921961,0.167403223126765,0.146448832453064,9.99900009999e-05,0.0070992900709929,9.99900009999e-05,0.0004999500049995
"35","nucl_acid","lipid","down",0.0607734806629834,0.0238697318007663,0.0694624419395876,0.0720637290375209,0.341065893410659,0.774522547745225,0.985801419858014,0.725227477252275
"36","energy","pro_modi","down",0.0242424242424242,0.0160426392922569,0.0553205332483535,0.0451540685146596,1,0.999000099990001,1,1
"37","lipid","pro_modi","down",0.0377532228360958,0.0232349518114992,0.0801404687417403,0.0588093584125692,0.973702629737026,0.955504449555045,0.707629237076292,0.998400159984002
"38","pro_modi","pro_modi","down",0.0379746835443038,0.0626803751803752,0.0732364443361886,0.0575029748820529,0.503549645035496,0.164583541645835,0.954604539546045,0.985201479852015
"39","pro_syn","pro_modi","down",0.0711206896551724,0.0779454344501526,0.127824850935002,0.126499734754153,0.0021997800219978,0.0267973202679732,9.99900009999e-05,0.0010998900109989
"40","nucl_acid","pro_modi","down",0.132596685082873,0.14051724137931,0.0968580811218603,0.0825035681262016,9.99900009999e-05,0.0180981901809819,0.0104989501049895,0.394360563943606
"41","energy","pro_syn","down",0.00848484848484849,0.00320953790781377,0.0117866342681113,0.00975844685988364,0.961603839616038,0.992500749925007,0.999200079992001,0.97010298970103
"42","lipid","pro_syn","down",0.0110497237569061,0.00365447076768835,0.0206779310775678,0.0122237693285808,0.972002799720028,0.997500249975003,0.161183881611839,0.882811718828117
"43","pro_modi","pro_syn","down",0.00632911392405063,0.00649350649350649,0.0189596611591496,0.00876430443999575,0.762623737626237,0.532246775322468,0.24977502249775,0.93040695930407
"44","pro_syn","pro_syn","down",0.0021551724137931,0.00229885057471264,0.0159753373576268,0.0140989887102922,0.998200179982002,0.991600839916008,0.724027597240276,0.708829117088291
"45","nucl_acid","pro_syn","down",0.0441988950276243,0.00689655172413793,0.0289163042513535,0.0143300898147568,0.0051994800519948,0.48045195480452,0.0044995500449955,0.485951404859514
"46","energy","nucl_acid","down",0.0206060606060606,0.030366846531215,0.0275510542808583,0.0377739802622694,0.992700729927007,0.493550644935506,1,0.615738426157384
"47","lipid","nucl_acid","down",0.0377532228360958,0.0550819798391702,0.0482658862313722,0.0483891825649976,0.15018498150185,0.0650934906509349,0.0030996900309969,0.123587641235876
"48","pro_modi","nucl_acid","down",0.0253164556962025,0.0112307283359915,0.0403672580143168,0.0327298584336796,0.653034696530347,0.810918908109189,0.604839516048395,0.775322467753225
"49","pro_syn","nucl_acid","down",0.0323275862068966,0.0299804647092837,0.0507356334570157,0.0450144234891566,0.457154284571543,0.467153284671533,0.0192980701929807,0.229277072292771
"50","nucl_acid","nucl_acid","down",0.0497237569060773,0.0365325670498084,0.0439207912980878,0.0697815989505128,0.0810918908109189,0.289271072892711,0.380561943805619,0.0301969803019698
