"","fit2$original.values"
"energy",162
"lipid",111
"pro_modi",88
"pro_syn",25
"nucl_acid",98
"energy&lipid",0
"energy&pro_modi",6
"energy&pro_syn",0
"energy&nucl_acid",0
"lipid&pro_modi",61
"lipid&pro_syn",0
"lipid&nucl_acid",0
"pro_modi&pro_syn",0
"pro_modi&nucl_acid",15
"pro_syn&nucl_acid",1
"energy&lipid&pro_modi",17
"energy&lipid&pro_syn",4
"energy&lipid&nucl_acid",1
"energy&pro_modi&pro_syn",0
"energy&pro_modi&nucl_acid",0
"energy&pro_syn&nucl_acid",0
"lipid&pro_modi&pro_syn",0
"lipid&pro_modi&nucl_acid",64
"lipid&pro_syn&nucl_acid",0
"pro_modi&pro_syn&nucl_acid",0
"energy&lipid&pro_modi&pro_syn",15
"energy&lipid&pro_modi&nucl_acid",19
"energy&lipid&pro_syn&nucl_acid",2
"energy&pro_modi&pro_syn&nucl_acid",0
"lipid&pro_modi&pro_syn&nucl_acid",4
"energy&lipid&pro_modi&pro_syn&nucl_acid",43
