"DEG_WBID","DEG_geneName","cluster_index","GEP_name"
"WBGene00015769","C14C11.7",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00008166","saps-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00006496","cgef-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00019888","btbd-10",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00004367","ric-8",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00021906","Y55B1AR.2",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00006498","ten-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00003676","nhr-86",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00008404","wbp-2",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00010259","ric-7",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00004206","pst-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00016622","mafr-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00011318","cdt-2",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00021923","Y55F3AM.5",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00011062","R06C7.2",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00004769","sel-12",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00010843","M03C11.6",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00017676","F21F3.7",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00003476","mtm-3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00015485","C05D11.8",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00011058","fdps-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00021536","Y42H9AR.1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00013668","slc-30A5",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00022233","ipla-6",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00003148","mbf-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00007009","wwp-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00015567","bath-44",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00004881","smg-3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00021732","Y49G5B.1",49,"Germline #1 gene expression and nuclear proteins"
