Row,energy,nadph,lipid,pro_modi,pro_syn,pro_mito,nucl_acid
B0001.4,0,0,0,0,0,0,0
B0024.13,0,0,0,1,0,0,0
B0205.6,1,0,0,0,0,0,0
B0228.7,0,0,0,0,0,0,0
B0250.5,1,1,1,1,0,0,0
B0272.3,1,0,0,0,0,0,0
B0272.4,1,1,1,1,1,1,0
B0303.3,1,0,0,0,0,0,0
B0395.3,0,0,0,0,0,0,0
B0491.7,0,0,1,0,0,0,0
B0513.5,1,0,1,0,0,0,1
C01B10.3,0,0,0,0,0,0,0
C01B4.6,0,0,0,0,0,0,0
C01F1.3,0,0,0,0,0,0,0
C01G10.9,0,0,0,0,0,0,0
C03A7.13,0,0,0,0,0,0,0
C05C10.3,1,1,1,1,0,0,0
C05C8.7,0,0,0,1,0,0,0
C06A6.4,0,0,0,0,0,0,0
C06G3.5,0,0,0,0,0,0,0
C07D8.6,0,0,0,0,0,0,0
C07E3.9,1,0,0,0,0,0,0
C08B11.8,0,0,0,1,0,0,0
C08B6.4,0,0,0,0,0,0,0
C08H9.3,0,0,0,1,0,0,0
C10C5.3,0,0,0,0,0,0,0
C10C5.4,0,0,0,0,0,0,0
C10C5.5,0,0,0,0,0,0,0
C13B9.2,0,0,0,0,0,0,0
C13C4.4,1,1,1,1,1,1,1
C14A4.3,0,0,0,1,0,0,0
C14B9.2,0,0,0,1,0,0,0
C14E2.4,0,1,0,1,0,0,0
C16A3.5,1,0,0,0,0,0,0
C17C3.1,0,0,1,0,0,0,0
C17C3.3,0,0,1,0,0,0,0
C18E9.4,1,0,0,0,0,0,0
C24A3.4,0,0,0,0,0,0,0
C25H3.9,1,0,0,0,0,0,0
C26D10.4,0,0,0,1,0,0,0
C27A2.12,0,0,0,0,0,0,1
C27A7.1,0,0,0,0,0,0,1
C27A7.3,0,0,0,0,0,0,1
C27A7.5,0,1,1,1,0,0,1
C27D8.4,0,0,0,0,0,0,0
C29E4.10,0,0,0,0,0,0,0
C29F7.3,0,0,1,1,0,0,1
C31C9.2,0,0,1,1,0,0,1
C31H2.4,1,1,1,1,0,0,0
C31H5.6,0,0,1,0,0,0,0
C32F10.8,1,1,1,1,1,0,1
C33A12.1,1,0,0,0,0,0,0
C34B2.8,1,0,0,0,0,0,0
C34B7.2,0,0,0,0,0,0,0
C34C6.4,0,0,0,0,0,0,0
C36A4.4,0,0,0,1,0,0,0
C37H5.13,0,0,1,0,0,0,0
C39B5.6,0,0,0,0,0,1,0
C39D10.3,0,0,1,1,0,0,1
C42C1.11,0,0,0,0,0,0,0
C44B7.12,0,0,0,0,0,0,0
C44B7.7,0,0,0,0,0,0,0
C44E12.1,0,0,0,0,0,0,0
C47B2.2,0,0,0,0,0,0,0
C49F5.5,0,0,1,1,0,0,0
C50D2.7,0,0,0,0,0,0,0
C53A3.2,0,0,0,0,0,0,0
C53D5.5,0,0,0,0,0,0,0
C54E4.5,0,0,0,0,0,0,0
C55H1.1,0,0,0,0,0,0,0
C56A3.8,0,0,0,0,0,0,0
C56G3.2,0,0,0,0,0,0,0
D1005.2,0,0,1,1,0,0,0
D2023.4,0,0,0,0,0,0,0
D2030.4,1,0,0,0,0,0,0
D2063.1,0,0,0,0,0,0,0
E01A2.1,0,0,0,0,0,0,0
E02H1.6,1,0,0,0,0,0,0
F01D4.8,0,0,0,0,0,0,0
F01G4.5,0,0,0,0,0,0,0
F02A9.4,1,1,1,1,0,0,0
F02E9.7,0,0,0,0,0,0,1
F07A11.5,0,1,1,1,0,0,1
F08F3.4,1,1,1,0,1,0,1
F08F8.7,1,1,1,1,1,1,1
F09E5.3,1,1,1,1,0,1,1
F09G2.8,0,0,1,1,0,0,1
F10C2.4,0,0,0,0,0,0,1
F10D2.8,0,0,0,0,0,0,0
F10F2.2,0,0,0,0,0,0,1
F12F6.7,0,0,0,0,0,0,1
F13B12.4,0,0,0,0,0,0,0
F13E6.5,0,0,1,0,0,0,0
F13H10.5,0,0,0,0,0,0,0
F13H8.9,0,0,0,0,0,0,0
F19B6.1,0,0,0,0,0,0,0
F19G12.2,0,0,0,0,0,0,1
F21D5.1,0,0,0,1,0,0,0
F23C8.5,1,0,0,0,0,0,0
F25B5.3,1,1,1,1,1,1,1
F25B5.6,0,0,0,0,0,0,0
F25E2.3,0,0,1,0,0,0,0
F25H9.6,0,0,1,0,0,0,0
F26C11.1,0,0,0,0,0,0,1
F26D11.1,0,1,1,1,0,0,1
F26E4.4,0,0,0,0,0,0,1
F26E4.6,1,0,0,0,0,0,0
F26H9.5,0,0,1,1,0,0,1
F27D4.1,1,0,0,0,0,0,0
