Row,energy,lipid,pro_modi,pro_syn,nucl_acid
B0001.4,0,0,0,0,0.000232683479438709
B0024.13,0,0,1,0,0
B0205.6,1,0,5.85147053597904e-07,0,8.06981208549406e-06
B0228.7,0,0,0,0,0
B0250.5,0.00373854427784274,0.021825947400164,0.0307175413380363,0,0
B0272.3,1,1,1,0.00555414380265475,0.0119180944249139
B0272.4,0.00174641127623595,0.00173769432350187,0.00292065375699382,0.00263970208439631,3.38032141070018e-05
B0303.3,1,1,1,0.00473789523957777,0.00373290298172257
B0395.3,4.99133684773251e-06,7.57608478879505e-09,4.51774065316374e-08,5.48318877888858e-08,2.87264449592288e-08
B0491.7,0,0.00244673541879208,7.31772115208918e-05,0,2.31722004928282e-06
B0513.5,0.00102335261352813,0.00283669759666826,0,0.000106092976922395,0.0041915113323509
C01B10.3,0,0,0,0,0
C01B4.6,0,0,0,0,0
C01F1.3,0,0,0,0,0
C01G10.9,0,0,0,0,0
C03A7.13,0,0,0,0,0
C05C10.3,0.00382834181234045,0.0167855272751048,0.0243369742443858,1.61853261775551e-07,1.90305135517775e-08
C05C8.7,0,0,1,0,0
C06A6.4,2.27882976792071e-05,0.000199955572093344,0.000400111944942208,0,0.000136161134991657
C06G3.5,0,0,0.000247312547439828,2.88647714457118e-05,0
C07D8.6,0,0,0,0,0
C07E3.9,1,1,1,0.00171360961629222,0.0121496120024862
C08B11.8,0,0,1,0,0
C08B6.4,0,0,0,0,0
C08H9.3,0,0,1,0,0
C10C5.3,2.27882976792071e-05,0.000199955572093344,0.000400111944942208,0,0.000136161134991657
C10C5.4,2.27882976792071e-05,0.000199955572093344,0.000400111944942208,0,0.000136161134991657
C10C5.5,2.27882976792071e-05,0.000199955572093344,0.000400111944942208,0,0.000136161134991657
C13B9.2,0,0,0,0,0
C13C4.4,0,0,0,0,0
C14A4.3,0,0,1,0,0
C14B9.2,0,3.08586232036315e-09,1,0,0
C14E2.4,0,0.00041867804463961,1,0,2.38844307852413e-05
C16A3.5,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
C17C3.1,0,1,0,0,0
C17C3.3,0,1,0,0,0
C18E9.4,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
C24A3.4,0,0,0,0,0
C25H3.9,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
C26D10.4,0,0,0.00214211651433624,0,0
C27A2.12,1.57337210702618e-06,0.00022739736168521,0.000339581447069606,0,0.00168388241034044
C27A7.1,1.57337210775036e-06,0.000227397361686974,0.000339581447070025,0,0.00168388241033974
C27A7.3,1.57337210775036e-06,0.000227397361686974,0.000339581447070025,0,0.00168388241033974
C27A7.5,0.000597931682617232,0.0134058997319604,0.00910215817432403,0.000423536780749493,0.0193272516799668
C27D8.4,7.79879829627992e-06,0.000266452898751515,0.000220085959572611,0,0.000119235559846775
C29E4.10,0,0,0,0,0
C29F7.3,0.000166908604024433,1,1,0,1
C31C9.2,3.50181979749797e-07,0.110696417185478,0.0610401007053715,0,0.0093789863135675
C31H2.4,0.00120225258534361,0.024644294804303,0.0403677800840299,0,1.19958453238153e-05
C31H5.6,0,1,0,0,0
C32F10.8,0.00370899008126619,0.00220020587377162,0.00768257112498663,0.00164936366691897,0.000543580407120083
C33A12.1,1,0.223631946304109,0.192760288301746,0.216368161511016,0.163691561727608
