Row,energy,lipid,pro_modi,pro_syn,nucl_acid
B0001.4,0,0,0,0,0.000524928784359183
B0024.13,0,0,1,0,0
B0205.6,1,4.53706009922764e-09,0,0,0
B0228.7,0,0,0,0,0
B0250.5,0.00389144030247769,0.0296158957516021,0.041476311853851,0.000167938637353568,9.02975892861466e-07
B0272.3,1,1,1,0.0044520446888565,0.0142644613772374
B0272.4,0.00163973590451347,0.00153933715079008,0.00304000404033787,0.00228012949818777,0.000156845116496622
B0303.3,1,1,1,0.00353725059472165,0.00315411697032471
B0395.3,4.7921232870483e-06,4.00730848605635e-08,4.16421586834417e-08,4.99811160555232e-08,0
B0491.7,0,0.0028686848589933,0,0,0
B0513.5,0.00102412840078305,0.00228727945111567,0,0.000119607514477758,0.00587274792217871
C01B10.3,0,0,0,0,0
C01B4.6,0,2.67944723023057e-09,0,0,0
C01F1.3,0,0,0,0,0
C01G10.9,0,0,0,0,0
C03A7.13,0,2.67944765649763e-09,0,0,0
C05C10.3,0.00505853969275975,0.00547783339602518,0.0119042206787172,3.1751307688972e-07,0.000347580791525041
C05C8.7,0,2.6794459514294e-09,1,0,0
C06A6.4,2.60661751616844e-05,0.000228132375790723,0.000459760951277708,0,0.000125125110353678
C06G3.5,0,0,0.000222997795619548,0,0
C07D8.6,0,2.6840405169018e-09,0,0,0
C07E3.9,1,1,1,0.0021663639927225,0.0151293969691362
C08B11.8,0,2.67944751440861e-09,1,0,0
C08B6.4,0,0,0,0,0
C08H9.3,0,2.67944751440861e-09,1,0,0
C10C5.3,2.60661751616844e-05,0.000228132375790723,0.000459760951277708,0,0.000125125110353678
C10C5.4,2.60661751616844e-05,0.000228132375790723,0.000459760951277708,0,0.000125125110353678
C10C5.5,2.60661751616844e-05,0.000228132375790723,0.000459760951277708,0,0.000125125110353678
C13B9.2,0,2.67944637769646e-09,0,0,0
C13C4.4,0.00972043599122345,1,1,1,1
C14A4.3,0,2.67944751440861e-09,1,0,0
C14B9.2,0,2.67944708814155e-09,1,0,0
C14E2.4,0,0.00015508192967765,1,0,0
C16A3.5,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
C17C3.1,0,1,0,0,0
C17C3.3,0,1,0,0,0
C18E9.4,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
C24A3.4,0,0,0,0,0
C25H3.9,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
C26D10.4,0,0,0.00181721662590567,0,0
C27A2.12,1.37088611469806e-06,0.000296109691071978,0.000258767315467842,0,0.00149983764396535
C27A7.1,1.37088611493968e-06,0.000296109691072893,0.000258767315468602,0,0.00149983764396371
C27A7.3,1.37088611493968e-06,0.000296109691072893,0.000258767315468602,0,0.00149983764396371
C27A7.5,0.000593441117524465,0.0215424679471668,0.0102098682073383,0.000635970258682037,0.0154882886077726
C27D8.4,7.60227266005331e-06,0.000248115014929669,0.000189046197661746,0,5.67464574714161e-05
C29E4.10,0,2.68403923590855e-09,0,0,0
C29F7.3,0.000459829714620421,1,1,0.000338263930440557,1
C31C9.2,7.87738430223113e-07,0.0658868512911012,0.0321021638117454,0,0.00522660737683948
C31H2.4,0.00132457666373022,0.0252130543185178,0.0452348737351315,0,0
C31H5.6,0,1,0,0,0
C32F10.8,0.00371007744910615,0.00246959601709801,0.00519759536821165,0.00152737929438819,0.00172657791409691
C33A12.1,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
C34B2.8,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
C34B7.2,0,2.67944765649763e-09,0,0,0
C34C6.4,0,0,0,0,0
C36A4.4,0,0.000211456042220467,1,0,0
C37H5.13,0,1,0,0,0
C39B5.6,0,0,0,0,0
C39D10.3,0.000459829714619455,0.032460384448354,0.00251537004619711,0.000338263927661958,0.00334798593765789
C42C1.11,0,0,0,0,0
C44B7.12,0,0,0.000222997795619548,0,0
C44B7.7,0,2.67944651978548e-09,0,0,0
C44E12.1,2.60661751616844e-05,0.000228132375790723,0.000459760951277708,0,0.000125125110353678
C47B2.2,0,0,0,0,0
C49F5.5,4.51755697709224e-06,0.0484423218928807,0.0257511068431942,0,0
C50D2.7,0,0,0,0,0
C53A3.2,0,0,0.000170091697631501,0,4.1329293990418e-05
C53D5.5,0,0,0,0,0
C54E4.5,0,6.83266904783779e-09,0,0,0
C55H1.1,0,2.67944765649763e-09,0,0,0
C56A3.8,0,0,0,0,0
C56G3.2,7.60227266029493e-06,0.000239805517606801,0.000141659947588396,0,5.67464574703091e-05
D1005.2,0,1,1,0,0
D2023.4,0,0,0,0,0
D2030.4,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
D2063.1,7.60227265981168e-06,0.000248117698967339,0.000189046197661151,0,0.000237472536464048
E01A2.1,0,2.6840405169018e-09,0,0,0
E02H1.6,1,1,1,1,1
F01D4.8,8.31839187767272e-07,1.07031695301411e-05,2.16081300343269e-05,0,5.12888954727634e-06
F01G4.5,0,0,0,0,0
F02A9.4,0.014381695305219,0.0762937323580005,0.167065956836939,1.34471392016762e-05,0
F02E9.7,1.37088611469806e-06,0.000296109691071978,0.000258767315467842,0,0.00149983764396535
F07A11.5,6.24826813694954e-05,0.00190320770745829,0.00221504540413024,0,0.00166727947322415
F08F3.4,0.00138206415705872,0.00112065270448492,0.000565061251019479,0.00100639430882899,0.00223209364297772
F08F8.7,0.00108032751079927,0.175694910428961,0.0480126761551573,0.00135917637577107,0.0890788002800383
F09E5.3,0.00106515480313095,0.011396440534638,0.0160234090608705,0.000950467353620257,0.0299819298068016
F09G2.8,0.000459829714620179,0.00547555266984486,0.00251537004619854,0.00033826392766044,0.00334798593765789
F10C2.4,0,0,0,0,1
F10D2.8,0,2.67944765649763e-09,0,0,0
F10F2.2,0,0,0,0,1
F12F6.7,0,0,0,0,1
F13B12.4,8.31839187767272e-07,1.07031695301411e-05,2.16081300343269e-05,0,5.12888954727634e-06
F13E6.5,0,1,0,0,0
F13H10.5,0,0,0,0,0
F13H8.9,0,3.2641946505073e-06,0,0,0
F19B6.1,0,0,0,0,0.00052492878436033
F19G12.2,1.96586704864856e-08,2.67944708814155e-09,0,0,1
F21D5.1,0,0.000211456042221955,1,0,0
F23C8.5,1,1,1,0.00447971772392367,0.0999101636659577
F25B5.3,0.0210857309942573,0.0957113889972912,0.118866002931151,0.00321148941120734,0.0324818264120447
F25B5.6,0,2.68403937824114e-09,0,0,0
F25E2.3,0,1,0,0,0
F25H9.6,0,1,0,0,0
F26C11.1,1.37088611469806e-06,0.000296109691071978,0.000258767315467842,0,0.00149983764396535
F26D11.1,1.61363945711546e-05,0.00110009307990475,0.00127633740225947,0,0.00101239107764461
F26E4.4,0,0,0,0,1
F26E4.6,1,1,1,1,1
F26H9.5,7.87738430464737e-07,0.0658868512911014,0.0321021638117462,0,0.00522660737682967
F27D4.1,1,1,1,0.00447971772392367,0.0999101636659577
F29C4.2,1,1,1,1,1
F31D4.9,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
F32B5.1,0,0,0,0,0
F32D1.5,0.000426757402746344,0.000425381881080174,0,0,0
F32D8.12,5.1430648672076e-05,0.000576158262621382,0.00128734451589797,0,0
F32D8.13,1,0,1,0,0
F33D4.4,0,1,0,0,0
F35C8.5,0,2.68404023223663e-09,0,0,0
F37C12.3,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
F38B2.4,1,1,1,1,1
F38B6.4,0,0,0,0,1
F39B2.3,0,0,0,0,0
F40F8.1,0.000459829714620421,1,1,0.000338263930440557,1
F41E6.5,0,0,0.000170091697631382,0,4.13292939907459e-05
F41E7.6,0,0.000111887348413967,0.000115318753716911,0,0
F42F12.3,0,0,0,0,0
F42F12.4,0,0,0,0,0
F42G8.10,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
F43G6.5,0,0,0,0,1
F44E7.2,0,0,0.000170091697631501,0,4.1329293990418e-05
F44G4.2,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
F45H10.2,1,1,1,1,1
F45H10.3,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
F48E8.3,0,0,0.0138822574187022,0,0
F49E2.1,0,0,0,0,0
F49H6.5,0,0,0,0,0
F52B11.2,0,0,1,0,0
F52C9.3,0,4.53706080967274e-09,0,0,0
F53C11.3,0,0.000248309652658567,0.000244857490593626,0,0
F53C3.13,0,1,0,0,0
F53F1.2,0,2.6840405169018e-09,0,0,0
F53F1.3,0,2.6840405169018e-09,0,0,0
F53F10.2,0,0,0,0,0
F53F4.10,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
F54C1.1,0,2.67944765649763e-09,0,0,0
F54C8.1,1,1,1,0.00445204468885607,0.0142644613772391
F54D5.12,0,0,0,0,0.000347580791526025
F54D5.7,0.00433836481912708,0.0425890442272869,0.0638745398417265,0,0.00272822701385828
F54D7.2,0.000459829714620179,0.0324603844483537,0.00251537004619831,0.000338263930440341,0.00334798593766026
F55G1.9,0.000440992364695245,0.000155081929679582,1,0.000753602989465588,0.000611070213640784
F57B9.1,0,2.68403937824114e-09,0,0,0
F58A6.1,0,0.00870761403714697,0.00513940637997418,0,0
F58F12.1,1,1,1,1,1
F58F9.1,1.96586704864856e-08,2.67944708814155e-09,0,0,1
F58H1.3,0,0,0,0,0
F59A7.7,8.31839187767272e-07,1.07031695301411e-05,2.16081300343269e-05,0,5.12888954727634e-06
F59B2.3,0.000261077639337466,0.00951599391671122,0.0109148978274833,0,0.00789399126657912
F59C6.5,1,0.222923297847337,0.202160913694655,0.221882585628234,0.188452074690225
H14N18.4,0,0,0,0,0
H23N18.4,0,2.67944765649763e-09,0,0,0
H24K24.3,1.54085376920972e-05,0.000484849879588971,0.000330706145248951,0,0.000237472536463557
H28O16.1,1,1,1,1,1
H43I07.3,0,2.67944751440861e-09,1,0,0
K01C8.1,0,0,4.34906831557281e-05,0,0
K02D7.1,0.00613701205274592,0.0858665586989953,0.0802037034883555,0.00167298401836684,0.0306121506824272
K03H1.13,0,0,0.00181721662590567,0,0
K04A8.10,0,2.67944765649763e-09,0,0,0
K04C2.2,0,0,0,0,1
K05B2.4,0,1,0,0,0
K07B1.4,0,2.67944723023057e-09,0,0,0
K07E3.4,0.00127641759210107,0.00532053013472022,0.0322272791722288,0.00103422183699241,0.0355351769907246
K08E3.5,0,1,1,0,0
K09A9.6,0,0.000211456042221318,0.00180458909331388,0,0
K09E4.2,0,2.67944751440861e-09,1,0,0
K09H11.7,0,0,0.000170091697631501,0,4.1329293990418e-05
K10D2.7,0,0,0,0,0
K11H3.3,0,0.0232081834821588,0.208707714862428,0,0.00286019044831325
K12H4.7,1,1,1,1,1
M01E11.1,0,0,0,0,0
M04D5.1,0,2.67944708814155e-09,1,0,0
M05B5.4,1.69900063666128e-05,1.69714240127822e-05,6.24272925630042e-06,7.62703088745649e-06,5.76687823353866e-06
M153.1,0.000440992364695245,0.000155081929679582,1,0.000753602989465588,0.000611070213640784
M57.2,0,0,0,0,0
R01H10.7,0,2.67944765649763e-09,0,0,0
