"","RNAi","DEG","type","prop_single_raw","prop_single_norm","prop_full_raw","prop_full_norm","prop_p_single_raw","prop_p_single_norm","prop_p_full_raw","prop_p_full_norm"
"1","energy","energy","up",0.421686746987952,0.419612695985936,0.274211423699915,0.258714535083615,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"2","lipid","energy","up",0.138888888888889,0.161657846515332,0.112387639315375,0.1216084068674,1,0.995100489951005,1,0.999800019998
"3","pro_modi","energy","up",0.0397350993377483,0.0453840228276319,0.120079650120755,0.0894892803988437,1,1,1,1
"4","pro_syn","energy","up",0.14218009478673,0.185428650578316,0.117757055262951,0.164341115812778,1,0.973602639736026,1,0.456354364563544
"5","nucl_acid","energy","up",0.195652173913043,0.126811215604319,0.17448099178421,0.137579212787701,0.8995100489951,0.965903409659034,0.109089091090891,0.837416258374163
"6","energy","lipid","up",0.231325301204819,0.159152397769287,0.225563762520284,0.198489036715537,1,1,0.999600039996,0.999900009999
"7","lipid","lipid","up",0.340740740740741,0.394078524492293,0.285551929932055,0.341919750425668,9.99900009999e-05,0.0002999700029997,9.99900009999e-05,9.99900009999e-05
"8","pro_modi","lipid","up",0.145695364238411,0.224165030180068,0.244748351290941,0.276598172052584,0.999800019998,0.826817318268173,0.474452554744526,0.114588541145885
"9","pro_syn","lipid","up",0.177725118483412,0.181912067473413,0.157523976102508,0.171496733652761,1,0.999900009999,1,1
"10","nucl_acid","lipid","up",0.195652173913043,0.185567746429815,0.227122903108651,0.219888008051435,0.988001199880012,0.89001099890011,0.814318568143186,0.80981901809819
"11","energy","pro_modi","up",0.0650602409638554,0.0280803248360764,0.143184159680323,0.123751032010522,1,1,0.847515248475152,0.98040195980402
"12","lipid","pro_modi","up",0.0935185185185185,0.0630251891578027,0.142662387164343,0.15206083193062,0.97970202979702,0.986301369863014,0.976102389761024,0.282171782821718
"13","pro_modi","pro_modi","up",0.47682119205298,0.440430531595945,0.231859702298159,0.300454917528424,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05
"14","pro_syn","pro_modi","up",0.037914691943128,0.0339159218255077,0.0825495244084585,0.0829572366331382,1,1,1,1
"15","nucl_acid","pro_modi","up",0.135869565217391,0.192122953674678,0.170117887256201,0.169537740119442,0.0748925107489251,0.0626937306269373,0.0026997300269973,0.134286571342866
"16","energy","pro_syn","up",0.00240963855421687,0.000652315720808871,0.0180578459350838,0.0144243632295789,0.999200079992001,0.999800019998,0.282271772822718,0.614038596140386
"17","lipid","pro_syn","up",0.000925925925925926,0.000228571428571429,0.00857942846557756,0.00797563682747681,1,1,1,1
"18","pro_modi","pro_syn","up",0,0,0.00739479748385891,0.00354716668485051,1,1,1,1
"19","pro_syn","pro_syn","up",0.101895734597156,0.107591673193587,0.0589222545397374,0.0618463497561253,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.0003999600039996
"20","nucl_acid","pro_syn","up",0,0,0.00979710827762891,0.00441314764610026,1,1,1,1
"21","energy","nucl_acid","up",0.0759036144578313,0.0762625423511031,0.105811748906378,0.101381064654814,0.0012998700129987,0.073992600739926,9.99900009999e-05,0.0115988401159884
"22","lipid","nucl_acid","up",0.0324074074074074,0.0281766812378138,0.0570569040816763,0.0591014217930657,1,0.987501249875013,1,0.998300169983002
"23","pro_modi","nucl_acid","up",0.0198675496688742,0.0127876509455457,0.070023251468787,0.0729651219418352,0.96000399960004,0.95980401959804,0.986201379862014,0.682731726827317
"24","pro_syn","nucl_acid","up",0.0639810426540284,0.0561596899558171,0.0714360113198648,0.0607169488786199,0.222977702229777,0.422457754224578,0.939406059394061,0.990500949905009
"25","nucl_acid","nucl_acid","up",0.114130434782609,0.214569836293974,0.11876674813746,0.144085428783132,9.99900009999e-05,0.0022997700229977,9.99900009999e-05,0.0020997900209979
"26","energy","energy","down",0.116867469879518,0.239407153352144,0.0831432455473376,0.164560282438527,1,0.0048995100489951,1,0.0055994400559944
"27","lipid","energy","down",0.280555555555556,0.226755032689569,0.174792258898016,0.124778906972106,9.99900009999e-05,0.0721927807219278,9.99900009999e-05,0.624737526247375
"28","pro_modi","energy","down",0.211920529801325,0.179249711580539,0.124544139730255,0.105340880656787,0.184881511848815,0.494050594940506,0.733626637336266,0.918308169183082
"29","pro_syn","energy","down",0.210900473933649,0.190735377725651,0.138363729266567,0.123986979102745,0.0181981801819818,0.271872812718728,0.0874912508749125,0.536146385361464
"30","nucl_acid","energy","down",0.0760869565217391,0.0789707419017764,0.0588012996063881,0.0866542045217355,1,0.976202379762024,1,0.978502149785021
"31","energy","lipid","down",0.0373493975903614,0.032252065711413,0.0609219010753538,0.0553056371985286,0.997800219978002,0.964903509649035,1,0.999900009999
"32","lipid","lipid","down",0.0342592592592593,0.0513028741723605,0.0762924595739022,0.0743353179466807,1,0.470652934706529,0.997500249975003,0.893010698930107
"33","pro_modi","lipid","down",0.0397350993377483,0.020552372995982,0.0742974388783934,0.0560793275442974,0.706629337066293,0.85991400859914,0.991100889911009,0.997500249975003
"34","pro_syn","lipid","down",0.156398104265403,0.128572852656548,0.175074679663548,0.149995508402677,9.99900009999e-05,0.0046995300469953,9.99900009999e-05,0.0003999600039996
"35","nucl_acid","lipid","down",0.0597826086956522,0.0223040752351097,0.0697851330526026,0.0726534112781008,0.40995900409959,0.820817918208179,0.993600639936006,0.757524247575243
"36","energy","pro_modi","down",0.0204819277108434,0.0115678172503287,0.053346367924373,0.0433536547807793,1,1,1,1
"37","lipid","pro_modi","down",0.0296296296296296,0.0159777046498332,0.0772032193636793,0.0594504554966428,0.999100089991001,0.996400359964004,0.892610738926107,0.997200279972003
"38","pro_modi","pro_modi","down",0.033112582781457,0.0588624338624339,0.0726954403592906,0.0564797859730014,0.54014598540146,0.157184281571843,0.937406259374063,0.984901509849015
"39","pro_syn","pro_modi","down",0.0734597156398104,0.0836236351231851,0.136054555459476,0.133259957652261,9.99900009999e-05,0.0140985901409859,9.99900009999e-05,0.0001999800019998
"40","nucl_acid","pro_modi","down",0.130434782608696,0.138244514106583,0.0981134112704536,0.0833140745385659,9.99900009999e-05,0.0155984401559844,0.0046995300469953,0.350664933506649
"41","energy","pro_syn","down",0.00843373493975904,0.00316141327036835,0.00884278505761882,0.00378405769646024,0.962403759624038,0.992700729927007,0.997700229977002,1
"42","lipid","pro_syn","down",0.0111111111111111,0.00365235550192831,0.0170170776366318,0.00965273589867387,0.971202879712029,0.997300269973003,0.158784121587841,0.802419758024198
"43","pro_modi","pro_syn","down",0.00662251655629139,0.00680272108843537,0.0139924017521643,0.00609913894942787,0.753924607539246,0.513248675132487,0.443655634436556,0.913508649135086
"44","pro_syn","pro_syn","down",0.0023696682464455,0.00238095238095238,0.0102586274663941,0.00695067546825821,0.991100889911009,0.991600839916008,0.921407859214079,0.97990200979902
"45","nucl_acid","pro_syn","down",0.0434782608695652,0.00689655172413793,0.0290055655349097,0.0128398648452037,0.0058994100589941,0.479052094790521,0.0001999800019998,0.332666733326667
"46","energy","nucl_acid","down",0.0204819277108434,0.0298512737525351,0.0269167596533326,0.0362363361916366,0.993600639936006,0.512148785121488,1,0.712728727127287
"47","lipid","nucl_acid","down",0.037962962962963,0.055145220154496,0.048456695568744,0.0491165358416661,0.146485351464854,0.0641935806419358,0.0015998400159984,0.104789521047895
"48","pro_modi","nucl_acid","down",0.0264900662251656,0.0117655249234197,0.0403648266173957,0.0329462082699489,0.613738626137386,0.794120587941206,0.597540245975402,0.768723127687231
"49","pro_syn","nucl_acid","down",0.033175355450237,0.0296791790870228,0.0520595865104945,0.0444484946406368,0.414858514148585,0.483051694830517,0.0073992600739926,0.251874812518748
"50","nucl_acid","nucl_acid","down",0.0489130434782609,0.0345123650296064,0.044008951971495,0.0690349074285847,0.0915908409159084,0.313468653134687,0.346165383461654,0.0311968803119688
